time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-01 12:10:00;3;1;0;0;5;0;0;0;0;0;0;0;6
2018-03-01 12:11:00;1;0;0;0;1;0;0;0;0;0;0;0;0
2018-03-01 13:52:00;4;0;0;0;3;1;0;0;3;0;3;0;3
2018-03-01 13:53:00;0;0;0;1;0;0;0;0;3;0;2;0;0
2018-03-01 13:54:00;3;0;0;0;0;0;0;0;0;0;0;0;0
2018-03-01 23:14:00;9;0;3;3;1;12;1;6;4;6;2;0;1
2018-03-01 23:15:00;3;1;0;0;0;0;0;1;0;0;3;1;0
2018-03-01 23:16:00;0;0;0;1;0;0;0;0;0;0;0;0;0
2018-03-01 23:17:00;1;0;0;0;0;0;0;0;0;0;2;0;0
2018-03-01 23:19:00;0;0;0;0;0;0;0;0;1;0;0;0;0
2018-03-01 23:20:00;0;0;1;0;0;0;0;0;0;0;0;0;0
2018-03-01 23:21:00;0;0;0;0;1;0;0;0;0;0;0;0;0
2018-03-02 15:33:00;1;0;0;0;3;0;0;0;0;1;0;0;3
2018-03-02 15:34:00;0;0;0;0;0;0;0;0;0;0;0;0;3
2018-03-02 15:35:00;0;0;0;0;0;0;0;0;1;0;0;0;0
2018-03-02 15:39:00;0;0;0;0;0;0;0;0;1;0;0;0;3
2018-03-02 15:41:00;0;0;0;0;0;0;0;0;1;0;0;0;0
2018-03-02 15:43:00;1;0;0;0;0;0;0;0;0;0;0;0;0
2018-03-02 15:44:00;2;0;0;0;0;0;0;0;0;0;0;0;0
2018-03-02 15:48:00;0;0;0;0;0;0;0;0;0;0;0;0;1
2018-03-02 15:57:00;0;0;0;0;0;0;0;0;0;0;1;0;0
2018-03-02 16:10:00;0;0;0;0;0;0;0;0;0;0;0;1;0
2018-03-02 16:13:00;4;0;0;0;9;0;0;0;2;0;0;0;1
2018-03-02 16:14:00;2;0;0;0;0;0;0;0;7;0;0;0;5
2018-03-02 16:15:00;0;0;0;0;0;0;0;0;4;0;0;0;2
2018-03-02 16:16:00;10;0;1;0;3;0;1;0;5;0;0;0;7
2018-03-02 16:17:00;4;1;1;0;0;3;0;0;0;0;6;0;1
2018-03-02 16:18:00;1;0;0;0;1;0;0;0;1;0;0;0;5
2018-03-02 16:19:00;1;1;0;0;2;0;0;0;2;0;0;0;0
2018-03-02 16:20:00;2;0;0;0;0;0;0;1;0;0;0;0;3
2018-03-02 16:21:00;13;2;0;2;1;9;1;1;9;3;7;1;4
2018-03-02 16:22:00;12;1;3;6;9;15;4;1;3;2;17;2;5
2018-03-02 16:23:00;21;2;3;1;2;10;1;0;1;2;11;2;8
2018-03-02 16:24:00;10;0;1;1;1;2;0;0;1;4;4;0;0
2018-03-02 16:25:00;3;1;0;0;0;2;0;0;0;0;2;0;1
2018-03-02 16:26:00;2;1;0;0;1;1;0;0;0;0;2;0;0
2018-03-02 16:27:00;2;1;2;0;0;3;0;0;1;0;3;0;0
2018-03-02 16:28:00;3;0;0;0;1;0;0;0;0;0;1;1;0
2018-03-02 16:29:00;6;0;1;1;6;0;0;0;6;0;1;0;4
2018-03-02 16:30:00;12;1;1;1;13;3;2;0;8;0;3;1;8
2018-03-02 16:31:00;7;0;0;0;10;1;0;0;15;0;0;0;11
2018-03-02 16:32:00;7;0;0;0;5;4;1;0;4;1;3;0;10
2018-03-02 16:33:00;16;0;0;0;9;1;0;0;5;1;0;0;8
2018-03-02 16:34:00;1;0;0;0;0;1;0;1;0;0;0;0;0
2018-03-02 16:35:00;6;0;0;0;3;0;0;0;6;0;0;0;12
2018-03-02 16:36:00;6;0;0;0;0;1;0;0;1;0;0;0;2
2018-03-02 16:37:00;3;0;0;0;0;0;0;0;3;0;0;0;3
2018-03-02 16:38:00;7;0;0;0;0;0;0;0;3;0;0;0;3
2018-03-02 16:39:00;5;0;0;0;2;1;0;0;7;0;0;0;9
2018-03-02 16:40:00;3;0;2;0;0;1;0;0;6;2;1;0;1
2018-03-02 17:42:00;1;0;0;0;0;0;0;0;0;0;0;0;0
2018-03-03 12:56:00;1;0;0;0;0;0;0;0;0;0;0;0;0
2018-03-03 12:57:00;2;0;1;0;0;3;0;0;0;0;0;0;0
2018-03-03 12:58:00;0;0;0;0;0;2;0;1;0;0;0;1;0
2018-03-03 12:59:00;1;0;0;0;0;2;0;0;0;0;1;0;0
2018-03-03 13:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0
2018-03-03 13:02:00;0;0;0;0;0;0;0;0;0;0;0;1;0
2018-03-03 13:03:00;1;0;0;0;0;0;0;0;0;0;0;0;0
2018-03-03 13:06:00;0;0;0;0;1;1;0;0;0;1;2;0;1
2018-03-03 13:07:00;0;0;0;0;0;1;0;0;0;0;3;0;0
2018-03-03 13:08:00;0;0;0;0;0;0;0;1;0;0;0;0;0
2018-03-03 13:09:00;0;0;0;0;0;0;0;0;0;0;1;0;0
2018-03-03 13:10:00;0;0;0;1;0;0;0;0;0;0;0;0;0
2018-03-03 13:13:00;0;0;0;0;0;1;0;0;0;0;0;0;0
2018-03-03 13:15:00;2;0;0;0;0;0;0;0;0;0;2;1;0
2018-03-03 13:21:00;0;0;0;0;0;0;0;0;0;0;2;0;0
2018-03-03 13:22:00;0;0;0;0;0;0;0;0;0;0;1;0;0
2018-03-03 13:23:00;0;0;0;0;0;2;0;0;0;0;0;0;0
2018-03-03 13:47:00;8;2;5;6;3;4;2;1;1;0;5;1;6
2018-03-03 13:48:00;2;1;0;0;0;1;0;0;0;0;0;0;0
2018-03-03 13:49:00;3;0;0;2;0;0;0;0;1;2;1;0;2
2018-03-03 13:50:00;1;0;0;0;0;0;1;1;0;0;0;0;0
2018-03-03 14:09:00;5;1;0;2;0;1;0;0;0;0;2;0;5
2018-03-03 14:14:00;0;0;0;0;0;0;0;0;0;0;1;0;0
2018-03-03 16:10:00;22;6;4;7;2;7;3;3;5;4;16;1;7
2018-03-03 16:11:00;4;0;0;0;0;3;0;0;2;0;6;0;0
2018-03-03 16:12:00;5;1;0;2;1;5;0;1;1;2;5;2;1
2018-03-03 16:13:00;12;4;6;1;2;14;7;4;7;12;24;5;11
2018-03-03 16:14:00;21;6;6;7;5;19;5;9;7;11;6;7;9
2018-03-03 16:15:00;22;11;3;4;5;17;4;6;4;7;21;2;11
2018-03-03 16:16:00;6;1;0;0;0;5;0;1;1;4;4;0;2
2018-03-03 16:17:00;5;1;3;2;0;5;0;1;2;1;7;0;0
2018-03-03 16:18:00;12;5;3;1;2;5;0;3;0;4;10;4;5
2018-03-03 16:19:00;8;1;3;4;1;6;0;0;1;0;3;1;2
2018-03-03 16:20:00;6;0;2;0;0;2;0;1;0;0;0;0;0
2018-03-03 16:21:00;7;0;0;1;0;3;1;0;2;1;0;1;1
2018-03-03 16:22:00;0;0;0;0;0;1;0;0;0;0;0;0;0
2018-03-03 16:24:00;2;1;0;1;0;3;1;0;0;3;0;0;1
