time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-05 16:49:00;0;0;0;0;0;2;0;0;0;0;0;0;0
2018-03-05 16:50:00;1;0;2;0;0;4;0;0;0;0;2;1;0
2018-03-05 16:51:00;0;0;0;0;0;2;0;0;0;0;0;0;0
2018-03-05 16:53:00;1;0;0;0;0;1;0;0;0;0;2;0;0
2018-03-05 16:54:00;3;0;0;0;0;3;0;0;0;0;1;0;0
2018-03-05 16:56:00;1;0;0;0;0;1;0;0;1;0;0;0;0
2018-03-05 16:57:00;3;0;0;0;0;4;0;0;1;0;0;0;0
2018-03-05 16:58:00;2;0;0;0;0;0;0;1;0;0;1;0;0
2018-03-05 16:59:00;3;1;0;0;0;0;0;0;0;0;3;0;1
2018-03-05 17:00:00;27;6;5;5;2;18;3;7;5;1;30;1;8
2018-03-05 17:01:00;40;3;2;8;2;38;4;5;6;5;47;7;18
2018-03-05 17:02:00;39;1;10;11;7;30;2;3;9;5;29;1;10
2018-03-05 17:03:00;18;4;1;3;2;9;1;0;1;5;5;2;3
2018-03-05 17:04:00;11;0;5;1;2;6;3;0;1;2;8;3;3
2018-03-05 17:05:00;13;1;1;1;3;10;0;0;1;3;12;1;0
2018-03-05 17:06:00;1;0;0;0;0;4;0;0;0;0;4;0;0
2018-03-05 17:07:00;28;4;3;5;3;21;2;6;10;2;20;3;3
2018-03-05 17:08:00;30;1;7;6;5;12;6;3;11;5;23;3;3
2018-03-05 17:09:00;8;2;4;0;4;6;3;3;2;6;4;0;4
2018-03-05 17:10:00;30;2;5;4;8;21;7;3;9;4;15;1;3
2018-03-05 17:11:00;42;2;5;7;12;21;4;5;12;11;37;6;13
2018-03-05 17:12:00;26;2;6;4;2;16;0;3;7;8;19;2;1
2018-03-05 17:13:00;9;1;0;0;0;6;1;7;0;3;5;0;0
2018-03-05 17:14:00;10;0;1;0;2;15;0;1;5;4;1;0;0
2018-03-05 17:15:00;20;5;4;0;5;11;3;5;0;5;21;0;1
2018-03-05 17:16:00;28;8;9;0;4;29;4;12;5;8;34;4;3
2018-03-05 17:17:00;39;5;8;2;3;29;10;5;5;6;23;2;5
2018-03-05 17:18:00;31;0;3;4;2;22;3;2;7;1;22;0;4
2018-03-05 17:19:00;55;14;8;7;9;36;6;19;18;13;46;2;11
2018-03-05 17:20:00;39;2;4;2;1;29;1;10;7;7;41;2;6
2018-03-05 17:21:00;28;1;1;4;1;14;2;1;3;1;5;1;11
2018-03-05 17:22:00;3;0;0;0;0;0;0;0;1;0;0;0;0
