timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0;time;ac_supported;22.0
1520287994.4261336;beacon;40;f2:21:11:a9:c6:00;9;4;MSSIDV;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:14;;
1520287994.509832;beacon;40;04:f0:21:11:a9:c6;9;4;RET WIFI;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:14;;
1520287996.5811827;beacon;20;00:0f:94:55:08:f4;2;4;GNXAC2273;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:16;;
1520287998.0655668;beacon;20;fa:8f:ca:7c:37:82;12;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:18;;
1520288000.2604635;beacon;20;00:0f:94:b3:ec:84;1;4;GNXF6AC1C;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:20;;
1520288000.4242606;beacon;20;00:0f:94:b3:fc:f4;6;4;Samenwerkt!;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:20;;
1520288000.489364;beacon;20;00:90:d0:e9:e7:a9;6;4;SpeedTouch428AD5;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:20;;
1520288000.73721;beacon;20;00:0f:94:51:ba:e4;12;4;GNXFBCAE2;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:20;;
1520288001.2641485;beacon;20;00:0f:94:b3:ef:64;9;4;GNXCDCC5A;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:21;;
1520288001.573851;beacon;20;c4:04:15:23:a8:fa;1;4;GNXAF87DE_EXT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:21;;
1520288001.6322196;beacon;20;00:0f:94:54:c6:74;1;4;GNX37CE9B;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:21;;
1520288001.697963;beacon;20;00:0f:94:51:bc:14;13;4;GNX11638F;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:21;;
1520288001.898365;beacon;20;00:0f:94:b3:fa:34;11;4;GNX325C49;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:21;;
1520288002.318141;beacon;20;00:0f:94:b3:fe:e4;3;4;GNX99C2D2;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:22;;
1520288002.438614;beacon;20;20:89:86:17:eb:e0;8;4;H368N17EBE0;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:22;;
1520288002.4996364;beacon;20;5c:dc:96:3a:16:b9;8;4;VGV75193A16B9;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:22;;
1520288002.5899732;beacon;20;78:96:82:5f:30:f9;4;4;H369A5F30F9;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:22;;
1520288002.5917625;beacon;20;6a:96:82:5f:30:fa;4;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:22;;
1520288002.9330153;beacon;20;84:9c:a6:b0:42:0f;10;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:22;;
1520288002.954861;beacon;20;fa:8f:ca:33:94:a2;1;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:22;;
1520288002.9758167;beacon;20;5c:dc:96:2d:e9:84;1;4;VGV75192DE984;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:22;;
1520288003.0138845;beacon;20;00:0f:94:b3:fc:a4;1;4;GNXBD0E93;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288003.031635;beacon;20;e4:f4:c6:07:c8:25;1;4;applicateur;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288003.1171024;beacon;20;00:0f:94:b3:ec:14;13;4;GNXFFF4D3;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288003.17046;beacon;20;00:16:0a:0f:9e:56;6;4;Sweex LW050v2;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288003.178701;beacon;20;84:47:65:ec:16:98;6;4;TMNL-EC1691;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288003.190145;beacon;40;c0:4a:00:50:ff:79;6;4;Skynet 2.4;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288003.6134977;beacon;20;9c:c7:a6:cd:ec:36;7;4;FRITZ!Box 7581 BW;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288003.7951412;beacon;20;00:0f:94:b3:f9:d4;8;4;Category_Iris;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288003.8846412;beacon;20;e8:37:7a:12:31:5d;4;4;ZyXEL12315C;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:23;;
1520288004.12936;beacon;20;ec:8a:4c:af:b1:9a;5;4;H368NAFB19A;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.13108;beacon;20;62:8a:4c:af:b1:9b;5;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.2120552;beacon;20;84:9c:a6:63:d2:20;10;4;VGV751963D220;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.3183722;beacon;40;00:14:5c:8e:36:b4;1;4;Rullens;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.3421252;beacon;20;b8:e9:37:18:9f:e1;1;6;;True;True;False;24.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.3617346;beacon;20;8c:68:c8:88:f1:a0;1;4;Mini1;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.3828423;beacon;20;00:0f:94:b3:e4:24;13;4;Moestuin;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.4334247;beacon;20;00:0f:94:b3:ec:74;13;4;GNX3858E9;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.5904622;beacon;20;7a:4a:77:5a:44:ac;11;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.604609;beacon;20;00:4a:77:5a:44:af;11;4;H369A5A44AF;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.646623;beacon;20;00:0f:94:b3:fc:04;11;4;GNXFF1E79;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.728329;beacon;20;00:0f:94:b3:ed:04;2;4;GNXDA0556;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288004.8455405;beacon;20;00:0f:94:b3:eb:e4;12;4;GNXB1270F;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:24;;
1520288005.0146194;beacon;20;34:4d:ea:8e:83:95;3;4;keesmaat;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:25;;
1520288005.6511917;beacon;20;00:0f:94:b3:fc:c4;1;4;GNXA6583C;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:25;;
1520288005.7173824;beacon;40;ec:08:6b:c1:39:62;1;4;Mini1_EXT1;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:25;;
1520288005.7187898;beacon;20;fa:8f:ca:37:c4:66;1;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:25;;
1520288005.8863811;beacon;20;50:7e:5d:41:e9:d7;6;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:13:25;;
