time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-02 16:20:30;2;0;0;0;0;0;0;1;0;0;0;0;3
2018-03-02 16:21:00;14;2;0;2;7;10;1;2;5;3;7;1;10
2018-03-02 16:21:30;20;2;1;2;7;10;1;2;12;3;10;1;10
2018-03-02 16:22:00;24;3;2;3;16;15;2;3;13;4;15;3;13
2018-03-02 16:22:30;32;3;4;8;16;26;5;4;16;5;27;3;15
2018-03-02 16:23:00;41;4;5;8;16;29;6;4;16;6;29;3;16
2018-03-02 16:23:30;55;6;7;9;18;38;6;4;17;8;39;6;23
2018-03-02 16:24:00;62;6;8;9;19;39;6;4;17;12;41;6;23
2018-03-02 16:24:30;65;6;8;10;19;40;6;4;18;12;43;6;23
2018-03-02 16:25:00;68;7;8;10;19;41;6;4;18;12;44;6;24
2018-03-02 16:25:30;68;7;8;10;19;42;6;4;18;12;45;6;24
2018-03-02 16:26:00;70;8;8;10;19;43;6;4;18;12;46;6;24
2018-03-02 16:26:30;70;8;8;10;20;43;6;4;18;12;47;6;24
2018-03-02 16:27:00;70;8;9;10;20;44;6;4;18;12;47;6;24
2018-03-02 16:27:30;72;9;10;10;20;46;6;4;19;12;50;6;24
2018-03-02 16:28:00;73;9;10;10;21;47;6;4;19;12;51;7;24
2018-03-02 16:28:30;75;9;10;10;21;47;6;4;19;12;51;7;24
2018-03-02 16:29:00;75;9;10;10;21;47;6;4;20;12;51;7;24
