time;1;2;3;4;5;6;7;8;9;10;11;12;13
02-03-2018 16:20;2;0;0;0;0;0;0;1;0;0;0;0;3
02-03-2018 16:21;18;2;1;2;7;10;1;1;12;3;10;1;7
02-03-2018 16:22;12;1;3;6;9;16;4;2;4;2;17;2;5
02-03-2018 16:23;23;3;3;1;2;12;1;0;1;3;12;3;8
02-03-2018 16:24;10;0;1;1;1;2;0;0;1;4;4;0;0
02-03-2018 16:25;3;1;0;0;0;2;0;0;0;0;2;0;1
02-03-2018 16:26;2;1;0;0;1;1;0;0;0;0;2;0;0
02-03-2018 16:27;2;1;2;0;0;3;0;0;1;0;3;0;0
02-03-2018 16:28;3;0;0;0;1;1;0;0;0;0;1;1;0
02-03-2018 16:29;0;0;0;0;0;0;0;0;1;0;0;0;0
;;;;;;;;;;;;;
;75;9;10;10;21;47;6;4;20;12;51;7;24
