time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-03 16:12:30;16;7;7;5;2;10;1;8;3;5;13;4;4
2018-03-03 16:13:00;34;10;9;6;3;23;4;11;7;9;26;10;12
2018-03-03 16:13:30;35;11;13;7;4;25;8;12;10;19;43;10;16
2018-03-03 16:14:00;39;14;17;10;7;35;12;15;15;24;47;13;21
2018-03-03 16:14:30;56;17;19;15;9;45;13;21;18;30;49;17;26
2018-03-03 16:15:00;72;26;22;19;13;51;16;25;22;34;66;18;34
2018-03-03 16:15:30;78;28;22;19;14;62;17;27;22;37;70;19;37
2018-03-03 16:16:00;82;28;22;19;14;64;17;28;22;38;73;19;37
2018-03-03 16:16:30;84;29;22;19;14;67;17;28;23;41;74;19;39
2018-03-03 16:17:00;87;30;24;21;14;69;17;28;25;42;81;19;39
2018-03-03 16:17:30;89;30;25;21;14;72;17;29;25;42;81;19;39
2018-03-03 16:18:00;93;33;26;21;14;77;17;30;25;43;83;21;40
2018-03-03 16:18:30;101;35;28;22;16;77;17;32;25;46;91;23;44
2018-03-03 16:19:00;106;36;31;26;16;79;17;32;26;46;93;23;46
2018-03-03 16:19:30;109;36;31;26;17;83;17;32;26;46;94;24;46
2018-03-03 16:20:00;110;36;31;26;17;83;17;32;26;46;94;24;46
2018-03-03 16:20:30;115;36;33;26;17;85;17;33;26;46;94;24;46
2018-03-03 16:21:00;118;36;33;27;17;87;17;33;28;47;95;24;47
2018-03-03 16:21:30;122;36;33;27;17;88;18;33;28;47;95;25;47
2018-03-03 16:22:30;122;36;33;27;17;89;18;33;28;47;95;25;47
2018-03-03 16:24:00;124;36;33;27;17;90;18;33;32;49;96;25;48
2018-03-03 16:24:30;125;37;33;28;17;92;19;33;32;50;96;25;48
2018-03-03 16:25:00;125;37;33;28;17;93;19;33;32;50;96;25;48
2018-03-03 16:26:00;125;37;34;28;17;93;19;33;32;50;96;25;48
2018-03-03 16:28:00;127;37;34;30;17;94;19;35;32;50;97;25;48
