time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-01 23:14:00;8;0;3;3;1;12;1;6;3;5;1;0;0
2018-03-01 23:14:30;9;0;3;3;1;12;1;6;4;6;2;0;1
2018-03-01 23:15:00;9;0;3;3;1;12;1;6;4;6;4;0;1
2018-03-01 23:15:30;12;1;3;3;1;12;1;7;4;6;5;1;1
2018-03-01 23:16:30;12;1;3;4;1;12;1;7;4;6;5;1;1
2018-03-01 23:17:00;13;1;3;4;1;12;1;7;4;6;6;1;1
2018-03-01 23:17:30;13;1;3;4;1;12;1;7;4;6;7;1;1
2018-03-01 23:19:30;13;1;3;4;1;12;1;7;5;6;7;1;1
2018-03-01 23:20:00;13;1;4;4;1;12;1;7;5;6;7;1;1
2018-03-01 23:21:00;13;1;4;4;2;12;1;7;5;6;7;1;1
