time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-02 16:20:00;2;0;0;0;0;0;0;1;0;0;0;0;3
2018-03-02 16:21:00;18;2;1;2;7;10;1;1;12;3;10;1;7
2018-03-02 16:22:00;12;1;3;6;9;16;4;2;4;2;17;2;5
2018-03-02 16:23:00;23;3;3;1;2;12;1;0;1;3;12;3;8
2018-03-02 16:24:00;10;0;1;1;1;2;0;0;1;4;4;0;0
2018-03-02 16:25:00;3;1;0;0;0;2;0;0;0;0;2;0;1
2018-03-02 16:26:00;2;1;0;0;1;1;0;0;0;0;2;0;0
2018-03-02 16:27:00;2;1;2;0;0;3;0;0;1;0;3;0;0
2018-03-02 16:28:00;3;0;0;0;1;1;0;0;0;0;1;1;0
2018-03-02 16:29:00;0;0;0;0;0;0;0;0;1;0;0;0;0
