time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-02 16:29:00;6;0;1;1;6;0;0;0;6;0;1;0;4
2018-03-02 16:30:00;12;1;1;1;13;3;2;0;8;0;3;1;8
2018-03-02 16:31:00;8;0;0;0;13;1;0;0;15;0;0;0;17
2018-03-02 16:32:00;10;0;1;1;5;4;1;0;4;1;4;0;10
2018-03-02 16:33:00;16;0;0;0;9;1;0;0;5;1;0;0;8
2018-03-02 16:34:00;1;0;0;0;0;1;0;1;0;0;0;0;0
2018-03-02 16:35:00;6;0;0;0;3;0;0;0;6;0;0;0;12
2018-03-02 16:36:00;6;0;0;0;0;2;0;0;1;0;4;0;2
2018-03-02 16:37:00;3;0;0;0;0;0;0;0;3;0;0;0;3
2018-03-02 16:38:00;7;0;0;0;0;0;0;0;3;0;1;0;3
2018-03-02 16:39:00;5;0;0;0;2;3;0;0;7;0;0;0;9
2018-03-02 16:40:00;3;0;2;0;0;1;0;0;9;2;1;0;4
