time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-03 16:12:00;16;7;7;5;2;10;1;8;3;5;13;4;4
2018-03-03 16:13:00;19;4;6;2;2;15;7;4;7;14;30;6;12
2018-03-03 16:14:00;21;6;6;8;5;20;5;9;8;11;6;7;10
2018-03-03 16:15:00;22;11;3;4;5;17;4;6;4;7;21;2;11
2018-03-03 16:16:00;6;1;0;0;0;5;0;1;1;4;4;0;2
2018-03-03 16:17:00;5;1;3;2;0;5;0;1;2;1;7;0;0
2018-03-03 16:18:00;12;5;3;1;2;5;0;3;0;4;10;4;5
2018-03-03 16:19:00;8;1;3;4;1;6;0;0;1;0;3;1;2
2018-03-03 16:20:00;6;0;2;0;0;2;0;1;0;0;0;0;0
2018-03-03 16:21:00;7;0;0;1;0;3;1;0;2;1;1;1;1
2018-03-03 16:22:00;0;0;0;0;0;1;0;0;0;0;0;0;0
2018-03-03 16:24:00;3;1;0;1;0;3;1;0;4;3;1;0;1
2018-03-03 16:25:00;0;0;0;0;0;1;0;0;0;0;0;0;0
2018-03-03 16:26:00;0;0;1;0;0;0;0;0;0;0;0;0;0
2018-03-03 16:28:00;2;0;0;2;0;1;0;2;0;0;1;0;0
