timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0;time;ac_supported;63.5;22.0;22.5
1520081222.2588725;beacon;20;ac:22:05:2c:8f:87;7;4;Ziggo4AEB1CD;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:02;;;;
1520081222.27428;beacon;40;54:67:51:fc:f7:ee;7;4;HuisWalibi;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:02;;;;
1520081222.294348;beacon;20;e8:40:f2:f4:e5:99;3;4;Ziggo63217;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:02;;;;
1520081222.3675842;beacon;40;9c:c7:a6:c2:93:50;3;4;FRITZ!Box 7369;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:02;;;;
1520081222.5015833;beacon;20;4a:5a:b6:14:bb:1c;3;4;Ziggo;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:02;;;;
1520081222.5829535;beacon;20;d0:60:8c:16:03:12;8;4;TELE2-160311_2.4G;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:02;;;;
1520081222.8249834;beacon;20;48:ee:0c:f2:48:53;4;4;Werktmisschienwel;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:02;;;;
1520081222.8705816;beacon;20;7a:b5:7e:3f:df:a8;4;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:02;;;;
1520081223.0341256;beacon;20;84:9c:a6:7f:4a:be;4;4;De 77e hemel;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.126928;beacon;20;9c:80:df:b5:3b:e5;9;4;VGV7519B53BE5;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.3513174;beacon;40;88:d2:74:9e:70:5a;5;4;TELE2-9E7059_2.4G;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.469271;beacon;20;ae:22:35:f7:8c:fa;5;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.4977815;beacon;40;c4:ea:1d:6d:04:b5;5;4;Room of Requirement;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.8220558;beacon;20;88:d2:74:aa:6a:cd;1;4;Wie ? Phi !;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.823823;beacon;20;6a:d2:74:aa:6a:ce;1;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.8310664;beacon;20;48:5a:b6:14:bb:1b;1;4;Jap;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.8350892;beacon;20;ea:40:f2:f4:e5:9a;1;4;Ziggo;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081223.9770563;beacon;20;ae:d1:b8:54:eb:21;1;4;Ziggo;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:03;;;;
1520081224.172205;beacon;20;54:fa:3e:28:1b:31;13;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:04;;;;
1520081224.3784602;beacon;20;ac:22:05:f7:8c:fa;6;4;MkeWangu;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:04;;;;
1520081224.6840136;beacon;20;e0:cb:4e:7e:ec:89;11;4;kotamas1;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:04;;;;
1520081224.922703;beacon;20;1c:3a:de:ff:c9:4f;2;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:04;;;;
1520081225.2318864;beacon;20;54:fa:3e:2a:06:3f;12;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:05;;;;
1520081227.3689551;beacon;20;82:29:94:d8:28:f0;1;4;Ziggo;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:07;;;;
1520081227.4060001;beacon;20;54:fa:3e:51:70:23;13;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:07;;;;
1520081227.9267411;beacon;20;90:5c:44:20:29:bd;11;4;BravoTangoPapa;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:07;;;;
1520081229.493011;beacon;20;34:4d:ea:9a:5b:5e;4;4;HuizeOost;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:09;;;;
1520081230.924458;beacon;20;1c:3a:de:f6:dd:49;13;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:10;;;;
1520081233.9078434;beacon;20;ac:d1:b8:54:eb:20;1;4;Ziggo4C597;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:13;;;;
1520081234.4225972;beacon;40;ac:cf:85:97:ae:64;6;4;VFNL-97AE5C;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-03 13:47:14;;;;
