time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-01 12:10:30;3;1;0;0;5;0;0;0;0;0;0;0;6
2018-03-01 12:11:00;3;1;0;0;6;0;0;0;0;0;0;0;6
2018-03-01 12:11:30;4;1;0;0;6;0;0;0;0;0;0;0;6
2018-03-01 13:52:30;8;1;0;0;9;1;0;0;3;0;3;0;9
2018-03-01 13:53:00;8;1;0;1;9;1;0;0;6;0;5;0;9
2018-03-01 13:54:00;11;1;0;1;9;1;0;0;6;0;5;0;9
2018-03-01 23:14:00;19;1;3;4;10;13;1;6;9;5;6;0;9
2018-03-01 23:14:30;20;1;3;4;10;13;1;6;10;6;7;0;10
2018-03-01 23:15:00;20;1;3;4;10;13;1;6;10;6;9;0;10
2018-03-01 23:15:30;23;2;3;4;10;13;1;7;10;6;10;1;10
2018-03-01 23:16:30;23;2;3;5;10;13;1;7;10;6;10;1;10
2018-03-01 23:17:00;24;2;3;5;10;13;1;7;10;6;11;1;10
2018-03-01 23:17:30;24;2;3;5;10;13;1;7;10;6;12;1;10
2018-03-01 23:19:30;24;2;3;5;10;13;1;7;11;6;12;1;10
2018-03-01 23:20:00;24;2;4;5;10;13;1;7;11;6;12;1;10
2018-03-01 23:21:00;24;2;4;5;11;13;1;7;11;6;12;1;10
2018-03-02 15:33:30;25;2;4;5;14;13;1;7;11;7;12;1;13
2018-03-02 15:34:00;25;2;4;5;14;13;1;7;11;7;12;1;15
2018-03-02 15:34:30;25;2;4;5;14;13;1;7;11;7;12;1;16
2018-03-02 15:35:00;25;2;4;5;14;13;1;7;12;7;12;1;16
2018-03-02 15:39:00;25;2;4;5;14;13;1;7;12;7;12;1;18
2018-03-02 15:39:30;25;2;4;5;14;13;1;7;13;7;12;1;19
2018-03-02 15:41:30;25;2;4;5;14;13;1;7;14;7;12;1;19
2018-03-02 15:43:30;26;2;4;5;14;13;1;7;14;7;12;1;19
2018-03-02 15:44:00;28;2;4;5;14;13;1;7;14;7;12;1;19
