time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-05 16:18:00;2;0;1;2;0;1;0;1;0;0;0;0;0
2018-03-05 16:18:30;2;0;1;2;0;2;0;1;0;0;0;0;0
2018-03-05 16:19:00;3;0;1;2;0;2;0;1;0;0;0;0;0
2018-03-05 16:20:00;3;0;1;2;0;2;0;1;0;0;1;0;0
2018-03-05 16:20:30;4;0;1;2;0;2;0;1;0;0;1;0;0
2018-03-05 16:21:30;4;0;1;2;0;4;0;1;0;0;3;0;0
2018-03-05 16:22:00;4;0;1;2;0;4;0;2;0;0;3;0;0
2018-03-05 16:24:30;5;0;1;2;0;5;0;2;0;2;3;0;0
2018-03-05 16:26:00;11;0;1;2;0;6;0;2;1;2;7;0;0
2018-03-05 16:26:30;13;0;1;3;0;9;0;3;2;2;8;0;0
2018-03-05 16:27:00;14;0;1;5;0;11;0;3;2;4;11;0;0
2018-03-05 16:27:30;18;1;1;7;1;17;0;4;2;5;14;0;1
2018-03-05 16:28:00;23;1;3;7;2;18;0;4;5;6;15;0;1
2018-03-05 16:28:30;25;1;3;7;3;21;0;4;5;7;18;0;1
2018-03-05 16:29:00;26;1;3;7;3;22;0;4;5;7;18;0;1
2018-03-05 16:30:00;26;1;3;7;3;23;0;4;5;7;19;0;1
2018-03-05 16:30:30;26;1;4;7;3;23;0;4;5;7;19;0;1
2018-03-05 16:32:30;26;1;4;7;3;23;0;4;5;7;20;0;1
2018-03-05 16:33:00;27;1;4;8;3;23;0;4;5;7;21;1;2
2018-03-05 16:33:30;33;1;4;12;4;24;0;5;5;7;29;2;2
2018-03-05 16:34:00;57;5;9;14;12;37;5;12;11;16;41;5;10
2018-03-05 16:34:30;66;6;14;14;17;44;7;15;17;17;51;5;11
2018-03-05 16:35:00;71;7;16;15;20;50;7;16;18;17;57;6;12
2018-03-05 16:35:30;80;8;21;15;29;55;10;19;18;21;62;8;17
2018-03-05 16:36:00;84;9;22;16;30;59;10;19;20;22;62;9;19
2018-03-05 16:36:30;86;9;22;16;32;60;10;19;22;25;63;9;19
2018-03-05 16:37:00;98;9;25;19;33;65;11;22;27;27;76;9;19
2018-03-05 16:37:30;105;12;27;19;33;71;12;23;30;29;83;12;20
2018-03-05 16:38:00;107;14;28;19;35;78;14;28;33;32;84;13;22
2018-03-05 16:38:30;113;15;31;21;36;84;14;29;34;32;100;13;22
2018-03-05 16:39:00;114;15;31;21;36;85;14;29;34;32;102;13;22
2018-03-05 16:39:30;115;15;31;22;36;87;14;30;34;34;103;13;22
2018-03-05 16:40:00;118;17;31;22;38;92;15;30;35;34;108;14;22
2018-03-05 16:40:30;120;18;32;22;38;92;16;30;36;34;110;14;22
2018-03-05 16:41:00;121;18;32;22;38;92;16;30;36;34;110;14;23
2018-03-05 16:41:30;124;19;32;24;41;95;17;30;37;35;115;16;24
2018-03-05 16:42:00;133;23;34;25;43;98;19;30;39;38;118;16;25
2018-03-05 16:42:30;134;23;34;25;43;99;19;30;39;38;119;16;25
2018-03-05 16:43:00;137;23;34;25;44;99;19;30;39;38;119;16;25
2018-03-05 16:43:30;143;23;36;26;45;102;19;31;39;38;125;19;27
2018-03-05 16:44:00;157;27;39;27;50;123;21;34;43;39;142;20;36
2018-03-05 16:44:30;165;27;39;29;50;126;21;35;43;41;142;22;36
2018-03-05 16:45:00;175;31;40;30;51;135;23;42;45;42;154;24;43
2018-03-05 16:45:30;185;35;43;33;54;148;23;46;48;45;162;25;47
2018-03-05 16:46:00;191;37;44;34;57;155;24;47;50;46;169;29;49
2018-03-05 16:46:30;193;37;44;34;57;156;24;47;50;46;171;29;49
2018-03-05 16:47:00;196;37;44;34;57;157;24;47;50;46;173;29;49
2018-03-05 16:47:30;197;37;44;34;57;159;24;47;50;46;174;29;49
