time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-05 16:18:00;2;0;1;2;0;2;0;1;0;0;0;0;0
2018-03-05 16:19:00;1;0;0;0;0;0;0;0;0;0;0;0;0
2018-03-05 16:20:00;1;0;0;0;0;0;0;0;0;0;1;0;0
2018-03-05 16:21:00;0;0;0;0;0;2;0;0;0;0;2;0;0
2018-03-05 16:22:00;0;0;0;0;0;0;0;1;0;0;0;0;0
2018-03-05 16:24:00;1;0;0;0;0;1;0;0;0;2;0;0;0
2018-03-05 16:26:00;8;0;0;1;0;4;0;1;2;0;5;0;0
2018-03-05 16:27:00;5;1;0;4;1;8;0;1;0;3;6;0;1
2018-03-05 16:28:00;7;0;2;0;2;4;0;0;3;2;4;0;0
2018-03-05 16:29:00;1;0;0;0;0;1;0;0;0;0;0;0;0
2018-03-05 16:30:00;0;0;1;0;0;1;0;0;0;0;1;0;0
2018-03-05 16:32:00;0;0;0;0;0;0;0;0;0;0;1;0;0
2018-03-05 16:33:00;7;0;0;5;1;1;0;1;0;0;9;2;1
2018-03-05 16:34:00;33;5;10;2;13;20;7;10;12;10;22;3;9
2018-03-05 16:35:00;14;2;7;1;12;11;3;4;1;4;11;3;6
2018-03-05 16:36:00;6;1;1;1;3;5;0;0;4;4;1;1;2
2018-03-05 16:37:00;19;3;5;3;1;11;2;4;8;4;20;3;1
2018-03-05 16:38:00;8;3;4;2;3;13;2;6;4;3;17;1;2
2018-03-05 16:39:00;2;0;0;1;0;3;0;1;0;2;3;0;0
2018-03-05 16:40:00;5;3;1;0;2;5;2;0;2;0;7;1;0
2018-03-05 16:41:00;4;1;0;2;3;3;1;0;1;1;5;2;2
2018-03-05 16:42:00;10;4;2;1;2;4;2;0;2;3;4;0;1
2018-03-05 16:43:00;9;0;2;1;2;3;0;1;0;0;6;3;2
2018-03-05 16:44:00;22;4;3;3;5;24;2;4;4;3;17;3;9
2018-03-05 16:45:00;20;8;4;4;4;22;2;11;5;4;20;3;11
2018-03-05 16:46:00;8;2;1;1;3;8;1;1;2;1;9;4;2
2018-03-05 16:47:00;4;0;0;0;0;3;0;0;0;0;3;0;0
