time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-05 23:13:00;44;7;12;11;4;30;5;9;7;8;20;7;10
2018-03-05 23:14:00;27;9;12;7;16;17;13;9;9;7;31;4;6
2018-03-05 23:15:00;17;1;13;13;7;10;3;3;13;8;10;3;3
2018-03-05 23:16:00;13;2;9;0;0;4;1;12;3;3;9;1;5
2018-03-05 23:17:00;5;0;1;3;0;4;2;1;2;0;7;1;4
2018-03-05 23:18:00;41;8;12;5;2;28;11;12;7;9;26;3;6
2018-03-05 23:19:00;12;3;2;3;3;8;2;4;1;2;11;0;3
2018-03-05 23:20:00;9;0;1;0;1;7;1;1;1;1;9;0;1
2018-03-05 23:21:00;10;0;3;0;0;11;1;1;1;1;4;0;1
2018-03-05 23:22:00;12;3;2;5;3;19;0;6;2;3;12;1;1
2018-03-05 23:23:00;16;3;9;5;1;19;0;6;5;1;14;0;3
2018-03-05 23:24:00;8;3;0;5;1;6;0;2;0;1;0;0;1
2018-03-05 23:25:00;0;0;0;0;0;1;0;0;0;0;0;0;0
