time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-05 23:13:00;17;4;5;3;3;11;1;4;4;2;5;5;4
2018-03-05 23:13:30;44;7;12;11;4;30;5;9;7;8;20;7;10
2018-03-05 23:14:00;52;9;19;14;12;42;12;11;11;11;32;10;13
2018-03-05 23:14:30;71;16;24;18;20;47;18;18;16;15;51;11;16
2018-03-05 23:15:00;78;16;30;21;23;48;18;18;17;17;54;11;16
2018-03-05 23:15:30;88;17;37;31;27;57;21;21;29;23;61;14;19
2018-03-05 23:16:00;100;19;46;31;27;61;22;32;32;26;70;15;24
2018-03-05 23:16:30;101;19;46;31;27;61;22;33;32;26;70;15;24
2018-03-05 23:17:00;104;19;46;34;27;64;24;34;34;26;76;16;27
2018-03-05 23:17:30;106;19;47;34;27;65;24;34;34;26;77;16;28
2018-03-05 23:18:00;124;22;49;34;27;76;29;39;34;30;87;16;30
2018-03-05 23:18:30;147;27;59;39;29;93;35;46;41;35;103;19;34
2018-03-05 23:19:00;156;29;61;41;32;99;37;47;41;36;110;19;37
2018-03-05 23:19:30;159;30;61;42;32;101;37;50;42;37;114;19;37
2018-03-05 23:20:00;165;30;62;42;33;104;37;51;43;38;123;19;37
2018-03-05 23:20:30;168;30;62;42;33;108;38;51;43;38;123;19;38
2018-03-05 23:21:00;170;30;62;42;33;109;38;51;44;39;124;19;38
2018-03-05 23:21:30;178;30;65;42;33;119;39;52;44;39;127;19;39
2018-03-05 23:22:00;188;33;67;46;35;131;39;57;46;42;137;20;40
2018-03-05 23:22:30;190;33;67;47;36;138;39;58;46;42;139;20;40
2018-03-05 23:23:00;198;34;72;49;37;148;39;61;49;43;146;20;43
2018-03-05 23:23:30;206;36;76;52;37;157;39;64;51;43;153;20;43
2018-03-05 23:24:30;214;39;76;57;38;163;39;66;51;44;153;20;44
2018-03-05 23:25:00;214;39;76;57;38;164;39;66;51;44;153;20;44
