time;1;2;3;4;5;6;7;8;9;10;11;12;13
03-03-2018 16:12;16;7;7;5;2;10;1;8;3;5;13;4;4
03-03-2018 16:13;19;4;6;2;2;15;7;4;7;14;30;6;12
03-03-2018 16:14;21;6;6;8;5;20;5;9;8;11;6;7;10
03-03-2018 16:15;22;11;3;4;5;17;4;6;4;7;21;2;11
03-03-2018 16:16;6;1;0;0;0;5;0;1;1;4;4;0;2
03-03-2018 16:17;5;1;3;2;0;5;0;1;2;1;7;0;0
03-03-2018 16:18;12;5;3;1;2;5;0;3;0;4;10;4;5
03-03-2018 16:19;8;1;3;4;1;6;0;0;1;0;3;1;2
03-03-2018 16:20;6;0;2;0;0;2;0;1;0;0;0;0;0
03-03-2018 16:21;7;0;0;1;0;3;1;0;2;1;1;1;1
03-03-2018 16:22;0;0;0;0;0;1;0;0;0;0;0;0;0
03-03-2018 16:24;3;1;0;1;0;3;1;0;4;3;1;0;1
03-03-2018 16:25;0;0;0;0;0;1;0;0;0;0;0;0;0
03-03-2018 16:26;0;0;1;0;0;0;0;0;0;0;0;0;0
03-03-2018 16:28;2;0;0;2;0;1;0;2;0;0;1;0;0
;;;;;;;;;;;;;
;127;37;34;30;17;94;19;35;32;50;97;25;48
